initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
 -0.018  | 54.034  |   9686  |  -7163  | -0.852  | -1.048  | -1.543  |
 -0.016  | 54.294  |   9722  |  -7208  | -0.840  | -1.047  | -1.559  |
 -0.014  | 54.476  |   9748  |  -7239  | -0.831  | -1.048  | -1.561  |
 -0.012  | 54.573  |   9763  |  -7254  | -0.826  | -1.047  | -1.569  |
 -0.009  | 54.614  |   9770  |  -7260  | -0.824  | -1.047  | -1.571  |
 -0.014  | 54.614  |   9770  |  -7260  | -0.823  | -1.047  | -1.573  |
 -0.036  | 54.563  |   9764  |  -7250  | -0.825  | -1.048  | -1.563  |
 -0.030  | 54.287  |   9723  |  -7205  | -0.833  | -1.047  | -1.532  |
  0.003  | 53.870  |   9665  |  -7133  | -0.842  | -1.047  | -1.520  |
  0.026  | 53.473  |   9610  |  -7064  | -0.853  | -1.048  | -1.499  |
  0.039  | 53.133  |   9560  |  -7008  | -0.864  | -1.048  | -1.487  |
  0.040  | 52.870  |   9520  |  -6966  | -0.875  | -1.048  | -1.482  |
  0.038  | 52.658  |   9485  |  -6935  | -0.886  | -1.049  | -1.485  |
  0.039  | 52.463  |   9450  |  -6909  | -0.894  | -1.050  | -1.494  |
  0.042  | 52.286  |   9419  |  -6885  | -0.901  | -1.051  | -1.506  |
  0.041  | 52.151  |   9394  |  -6868  | -0.908  | -1.051  | -1.523  |
  0.037  | 52.065  |   9378  |  -6857  | -0.913  | -1.052  | -1.524  |
  0.034  | 52.001  |   9367  |  -6848  | -0.918  | -1.052  | -1.538  |
  0.032  | 51.917  |   9356  |  -6833  | -0.921  | -1.052  | -1.535  |
  0.043  | 51.815  |   9341  |  -6816  | -0.924  | -1.052  | -1.538  |
  0.038  | 51.795  |   9341  |  -6810  | -0.925  | -1.052  | -1.523  |
  0.035  | 51.795  |   9341  |  -6810  | -0.926  | -1.052  | -1.523  |
  0.036  | 51.795  |   9341  |  -6810  | -0.927  | -1.052  | -1.523  |
  0.040  | 51.795  |   9341  |  -6810  | -0.926  | -1.052  | -1.522  |
  0.047  | 51.811  |   9344  |  -6812  | -0.925  | -1.052  | -1.523  |
  0.061  | 51.828  |   9345  |  -6816  | -0.924  | -1.052  | -1.521  |
  0.051  | 52.020  |   9370  |  -6851  | -0.920  | -1.052  | -1.533  |
  0.026  | 52.238  |   9394  |  -6895  | -0.917  | -1.052  | -1.550  |
  0.020  | 52.334  |   9402  |  -6917  | -0.915  | -1.052  | -1.581  |
  0.188  | 51.616  |   9295  |  -6800  | -0.912  | -1.052  | -1.591  |
  0.213  | 51.815  |   9324  |  -6833  | -0.910  | -1.053  | -1.586  |
  0.148  | 52.645  |   9445  |  -6971  | -0.910  | -1.053  | -1.586  |
  0.104  | 53.543  |   9580  |  -7116  | -0.910  | -1.053  | -1.586  |
  0.092  | 54.403  |   9717  |  -7247  | -0.832  | -1.055  | -1.607  |
  0.090  | 55.294  |   9866  |  -7376  | -0.801  | -1.056  | -1.592  |
  0.082  | 56.288  |  10030  |  -7522  | -0.761  | -1.057  | -1.562  |
  0.055  | 57.408  |  10207  |  -7694  | -0.724  | -1.056  | -1.553  |
  0.065  | 58.408  |  10360  |  -7853  | -0.679  | -1.055  | -1.559  |
  0.082  | 59.425  |  10511  |  -8019  | -0.637  | -1.056  | -1.570  |
  0.079  | 60.576  |  10686  |  -8203  | -0.596  | -1.056  | -1.586  |
  0.072  | 61.788  |  10880  |  -8387  | -0.545  | -1.058  | -1.581  |
  0.055  | 63.074  |  11086  |  -8582  | -0.500  | -1.059  | -1.569  |
  0.049  | 64.335  |  11285  |  -8776  | -0.451  | -1.060  | -1.561  |
  0.067  | 65.502  |  11459  |  -8966  | -0.397  | -1.060  | -1.573  |
  0.071  | 66.753  |  11648  |  -9167  | -0.351  | -1.059  | -1.590  |
  0.063  | 68.084  |  11861  |  -9369  | -0.300  | -1.062  | -1.586  |
  0.029  | 69.549  |  12097  |  -9590  | -0.247  | -1.064  | -1.567  |
  0.006  | 70.995  |  12323  |  -9815  | -0.187  | -1.063  | -1.569  |
  0.029  | 72.147  |  12495  | -10002  | -0.137  | -1.063  | -1.576  |
  0.034  | 73.301  |  12672  | -10185  | -0.089  | -1.065  | -1.581  |
  0.035  | 74.424  |  12855  | -10352  | -0.042  | -1.066  | -1.576  |
  0.033  | 75.533  |  13035  | -10518  | -0.001  | -1.068  | -1.552  |
 -0.004  | 76.726  |  13218  | -10707  |  0.045  | -1.067  | -1.556  |
 -0.058  | 77.836  |  13384  | -10887  |  0.080  | -1.067  | -1.573  |
 -0.068  | 78.557  |  13490  | -11006  |  0.113  | -1.068  | -1.617  |
 -0.045  | 79.000  |  13561  | -11073  |  0.139  | -1.068  | -1.611  |
 -0.032  | 79.350  |  13619  | -11124  |  0.157  | -1.068  | -1.609  |
 -0.050  | 79.584  |  13663  | -11153  |  0.169  | -1.068  | -1.592  |
 -0.049  | 79.568  |  13663  | -11148  |  0.174  | -1.068  | -1.572  |
 -0.073  | 79.500  |  13653  | -11137  |  0.171  | -1.068  | -1.572  |
 -0.040  | 79.000  |  13579  | -11055  |  0.159  | -1.069  | -1.564  |
  0.019  | 78.269  |  13469  | -10937  |  0.145  | -1.069  | -1.553  |
  0.049  | 77.608  |  13367  | -10833  |  0.126  | -1.070  | -1.549  |
  0.050  | 77.069  |  13282  | -10750  |  0.103  | -1.072  | -1.551  |
  0.052  | 76.537  |  13197  | -10669  |  0.082  | -1.073  | -1.556  |
  0.065  | 75.969  |  13108  | -10581  |  0.062  | -1.074  | -1.559  |
  0.083  | 75.450  |  13027  | -10500  |  0.042  | -1.074  | -1.559  |
  0.070  | 75.004  |  12956  | -10432  |  0.021  | -1.074  | -1.544  |
  0.045  | 74.552  |  12887  | -10360  | -0.000  | -1.076  | -1.551  |
  0.069  | 73.955  |  12800  | -10261  | -0.020  | -1.075  | -1.533  |
  0.100  | 73.410  |  12718  | -10173  | -0.038  | -1.075  | -1.518  |
