initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
 -0.087  | 51.946  |   9345  |  -6853  | -0.972  | -1.031  | -1.552  |
 -0.005  | 51.305  |   9246  |  -6752  | -0.979  | -1.032  | -1.574  |
  0.115  | 50.490  |   9128  |  -6616  | -0.989  | -1.031  | -1.557  |
  0.156  | 50.202  |   9088  |  -6566  | -0.998  | -1.030  | -1.550  |
  0.131  | 50.356  |   9110  |  -6592  | -1.001  | -1.031  | -1.545  |
  0.076  | 50.821  |   9182  |  -6665  | -0.996  | -1.031  | -1.544  |
 -0.016  | 51.481  |   9283  |  -6770  | -0.988  | -1.030  | -1.553  |
 -0.079  | 51.840  |   9339  |  -6826  | -0.981  | -1.030  | -1.547  |
 -0.071  | 51.747  |   9327  |  -6809  | -0.979  | -1.030  | -1.537  |
 -0.036  | 51.340  |   9271  |  -6738  | -0.983  | -1.030  | -1.525  |
  0.051  | 50.631  |   9161  |  -6627  | -0.994  | -1.031  | -1.515  |
  0.150  | 49.993  |   9062  |  -6527  | -1.005  | -1.032  | -1.511  |
  0.145  | 49.919  |   9050  |  -6516  | -1.012  | -1.031  | -1.525  |
  0.127  | 50.089  |   9076  |  -6543  | -1.013  | -1.030  | -1.527  |
  0.065  | 50.599  |   9153  |  -6625  | -1.008  | -1.031  | -1.533  |
  0.090  | 50.442  |   9127  |  -6602  | -0.999  | -1.031  | -1.527  |
  0.320  | 50.077  |   9072  |  -6543  | -0.981  | -1.032  | -1.550  |
  0.252  | 51.311  |   9260  |  -6740  | -0.954  | -1.031  | -1.542  |
  0.127  | 53.107  |   9531  |  -7029  | -0.913  | -1.030  | -1.558  |
  0.092  | 54.579  |   9760  |  -7259  | -0.864  | -1.029  | -1.559  |
  0.113  | 55.945  |   9973  |  -7472  | -0.812  | -1.030  | -1.552  |
  0.078  | 57.703  |  10244  |  -7749  | -0.746  | -1.029  | -1.555  |
  0.068  | 59.566  |  10536  |  -8038  | -0.677  | -1.029  | -1.552  |
  0.088  | 61.153  |  10787  |  -8282  | -0.609  | -1.029  | -1.542  |
  0.089  | 62.914  |  11064  |  -8554  | -0.539  | -1.028  | -1.538  |
  0.068  | 64.867  |  11368  |  -8859  | -0.467  | -1.026  | -1.538  |
  0.077  | 66.711  |  11653  |  -9149  | -0.391  | -1.025  | -1.538  |
